Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
27.1,10.316622734069800,-7.9535698890686000,-11.703703880310100,-33.0,60.20949935913090,19.75,-6.051999568939210,2.857142925262450,-275.0736999511720,209.88040161132800,0.0799854403584056,-2907.599853515630,0.0,-4.17549991607666,0.17499999701976800,10.125499725341800,-50.45000076293950,-7.5,39.525001525878900,225.39999389648400
27.150000000000000,10.316622734069800,-8.009998321533200,-11.703703880310100,-33.0,60.04399871826170,19.75,-6.227999210357670,2.738095283508300,-274.9888916015630,209.88040161132800,0.0464860001071334,-2907.60009765625,0.0,-4.1740007400512700,0.17499999701976800,10.213700294494600,-50.45000076293950,-7.5,39.5,225.39999389648400
27.200000000000000,10.343008041381800,-8.050713539123540,-11.703703880310100,-33.0,59.878700256347700,19.749900817871100,-6.1159987449646,2.738095283508300,-274.9070129394530,209.88040161132800,0.083335384384781,-2907.60009765625,0.0,-4.170001029968260,0.15000000596046400,10.293399810791000,-50.45000076293950,-7.5,39.474998474121100,225.39999389648400
27.25,10.343008041381800,-8.019286155700680,-11.703703880310100,-33.0,59.71329879760740,19.749900817871100,-6.275999069213870,2.857142925262450,-274.8251037597660,209.88040161132800,0.0766354963322813,-2907.60009765625,0.0,-4.173501014709470,0.17499999701976800,10.373800277710000,-50.45000076293950,-7.5,39.45000076293950,225.39999389648400
27.3,10.316622734069800,-8.078570365905760,-11.703703880310100,-32.999900817871100,59.547698974609400,19.750099182128900,-6.272000789642330,2.857142925262450,-274.73980712890600,209.88040161132800,0.0548608601680376,-2907.599853515630,0.0,-4.1680006980896,0.15000000596046400,10.460399627685500,-50.45000076293950,-7.5,39.42499923706060,225.39999389648400
27.35,10.369393348693800,-8.117140769958500,-11.703703880310100,-33.0,59.382301330566400,19.75,-6.076666355133060,2.738095283508300,-274.66009521484400,209.88040161132800,0.071610580293548,-2907.599853515630,0.0,-4.17650032043457,0.20000000298023200,10.536600112915000,-50.45000076293950,-7.5,39.400001525878900,225.39999389648400
27.400000000000000,10.343008041381800,-8.067856788635250,-11.703703880310100,-33.0,59.21689987182620,19.750099182128900,-6.226666450500490,2.738095283508300,-274.57611083984400,209.88040161132800,0.0766354963322813,-2907.60009765625,0.0,-4.184499740600590,0.17499999701976800,10.622599601745600,-50.45000076293950,-7.5,39.400001525878900,225.39999389648400
27.450000000000000,10.343008041381800,-8.100714683532720,-11.703703880310100,-33.0,59.05149841308590,19.749900817871100,-6.071333408355710,2.857142925262450,-274.493408203125,209.88040161132800,0.0598857762051442,-2907.60009765625,0.0,-4.178999900817870,0.20000000298023200,10.704099655151400,-50.45000076293950,-7.5,39.375,225.39999389648400
27.5,10.343008041381800,-8.107144355773930,-11.703703880310100,-33.0,58.88600158691410,19.75,-6.042667388916020,2.738095283508300,-274.4104919433590,209.88040161132800,0.0515109161435399,-2907.60009765625,0.0,-4.169500350952150,0.17499999701976800,10.786199569702100,-50.45000076293950,-7.5,39.375,225.39999389648400
27.55,10.343008041381800,-8.093572616577150,-11.703703880310100,-33.0,58.72050094604490,19.75,-6.1053338050842300,2.738095283508300,-274.3244934082030,209.88040161132800,0.0665856642553343,-2907.60009765625,0.0,-4.1740007400512700,0.17499999701976800,10.874699592590300,-50.45000076293950,-7.5,39.349998474121100,225.39999389648400
27.6,10.369393348693800,-8.1371431350708,-11.740740776062000,-33.0,58.55509948730470,19.75,-6.155999183654790,2.857142925262450,-274.24560546875,209.88040161132800,0.0498359441313601,-2907.599853515630,0.0,-4.180500030517580,0.17499999701976800,10.951399803161600,-50.45000076293950,-7.5,39.349998474121100,225.39999389648400
27.650000000000000,10.343008041381800,-8.130714416503910,-11.777777671814000,-32.999900817871100,58.38959884643560,19.750099182128900,-6.228665828704830,2.857142925262450,-274.156494140625,209.88040161132800,0.058210804192726,-2907.60009765625,0.0,-4.16849946975708,0.17499999701976800,11.043000221252400,-50.45000076293950,-7.5,39.32500076293950,225.39999389648400
