BendDieBendingAngle,BendDieLateralMovement,ColletAxialForce,ColletAxialMovement,MandrelAxialForce,MandrelAxialMovement,PressureDieAxialForce,PressureDieAxialMovement,PressureDieLateralForce,WiperDieAxialForce,WiperDieLateralForce,WiperDieLateralMovement,Diameter tube [mm],Wallthickness tube [mm],Mandrel extraction before bending end [],Collet boost [-],Clearance pressure die [mm]
58.80629633790923,-0.18117584288,-0.41043129563,32.176513672,0.88940376043,-51.219924927,0.21990358829,-79.999992371,2.0560433865,0.0,0.0,0.0015466669574,21.7,0.8,0,0.95,0.0
58.85743396704025,-0.1844483614,-0.44043150544,32.204494476,0.79104077816,-51.219924927,0.21658343077,-79.999992371,2.0200276375,0.0,0.0,-0.00023787637474,21.7,0.8,0,0.95,0.0
58.90856476078477,-0.18764722347,-0.43010318279,32.232475281,0.95236766338,-51.219924927,0.21423247457,-79.999992371,1.9979926348,0.0,0.0,-0.0015090823872,21.7,0.8,0,0.95,0.0
58.95970238991579,-0.19083362818,-0.51400434971,32.260452271,0.91267621517,-51.219924927,0.21144354343,-79.999992371,1.9761277437,0.0,0.0,0.00047631189227,21.7,0.8,0,0.95,0.0
59.01084001331722,-0.19384276867,-0.61636024714,32.288433075,1.069948554,-51.219924927,0.20942258835,-79.999992371,1.9589685202,0.0,0.0,0.0014338250039,21.7,0.8,0,0.95,0.0
59.06197764244824,-0.19650630653,-0.62882041931,32.316413879,1.1536169052,-51.219924927,0.21024951339,-79.999992371,1.9636818171,0.0,0.0,-0.00070285669062,21.7,0.8,0,0.95,0.0
59.11311526584968,-0.19884972274,-0.79961633682,32.344394684,1.2355078459,-51.219924927,0.21192139387,-79.999992371,1.9804317951,0.0,0.0,-0.0013227734016,21.7,0.8,0,0.95,0.0
59.1642460595942,-0.20030361414,-0.76244980097,32.372371674,1.3187252283,-51.219924927,0.21196112037,-79.999992371,1.9831101894,0.0,0.0,0.00091185531346,21.7,0.8,0,0.95,0.0
59.21538368872522,-0.20059071481,-0.73090952635,32.400352478,1.3583419323,-51.219924927,0.21456077695,-79.999992371,2.0072932243,0.0,0.0,0.0011787000112,21.7,0.8,0,0.95,0.0
59.266521317856224,-0.19998860359,-0.70005965233,32.428333282,1.4227409363,-51.219924927,0.21734401584,-79.999992371,2.030526638,0.0,0.0,-0.0010980903171,21.7,0.8,0,0.95,0.0
59.31765894125767,-0.19819405675,-0.73111313581,32.456314087,1.498565793,-51.219924927,0.22104775906,-79.999992371,2.0626060963,0.0,0.0,-0.0010052013677,21.7,0.8,0,0.95,0.0
59.36879657038869,-0.19545757771,-0.74252700806,32.484291077,1.4328218699,-51.219924927,0.22215385735,-79.999992371,2.0719094276,0.0,0.0,0.001256912481,21.7,0.8,0,0.95,0.0
59.41993419379013,-0.19244606793,-0.66577941179,32.512271881,1.0964505672,-51.219924927,0.22275340557,-79.999992371,2.0795834064,0.0,0.0,0.0008066087612,21.7,0.8,0,0.95,0.0
59.471064987534646,-0.18938197196,-0.62505054474,32.540252686,1.1153143644,-51.219924927,0.22618310153,-79.999992371,2.1069099903,0.0,0.0,-0.001384356874,21.7,0.8,0,0.95,0.0
59.522202616665666,-0.18681278825,-0.54877841473,32.56823349,0.95758074522,-51.219924927,0.22659988701,-79.999992371,2.1117429733,0.0,0.0,-0.00058787991293,21.7,0.8,0,0.95,0.0
59.5733402400671,-0.18535970151,-0.47857624292,32.59621048,0.85663545132,-51.219924927,0.22716468573,-79.999992371,2.1181402206,0.0,0.0,0.0014772420982,21.7,0.8,0,0.95,0.0
59.62447786919812,-0.18544469774,-0.59318351746,32.624191284,0.88190162182,-51.219924927,0.22985620797,-79.999992371,2.1394779682,0.0,0.0,0.00035447519622,21.7,0.8,0,0.95,0.0
59.675615492599555,-0.18660192192,-0.80899393559,32.652172089,0.80292731524,-51.219924927,0.23177345097,-79.999992371,2.1522612572,0.0,0.0,-0.0015332492767,21.7,0.8,0,0.95,0.0
59.72674629207365,-0.18848964572,-1.0025955439,32.680152893,0.75219273567,-51.219924927,0.23379175365,-79.999992371,2.171236515,0.0,0.0,-0.00011222129979,21.7,0.8,0,0.95,0.0
59.777883915475094,-0.1915409714,-1.2471930981,32.708129883,0.73017555475,-51.219924927,0.23540072143,-79.999992371,2.1886601448,0.0,0.0,0.0015509803779,21.7,0.8,0,0.95,0.0
59.8290215446061,-0.1956166923,-1.1808567047,32.736110687,0.58524239063,-51.219924927,0.23763717711,-79.999992371,2.2090566158,0.0,0.0,-0.00013283410226,21.7,0.8,0,0.95,0.0
59.880159168007545,-0.20014959574,-1.0158321857,32.764091492,0.70114690065,-51.219924927,0.2375535816,-79.999992371,2.2051575184,0.0,0.0,-0.0015299924416,21.7,0.8,0,0.95,0.0
59.931296797138565,-0.20453184843,-0.72335970402,32.792072296,0.77608323097,-51.219924927,0.2376178205,-79.999992371,2.2037642002,0.0,0.0,0.00037457339931,21.7,0.8,0,0.95,0.0
59.98242759088308,-0.20898577571,-0.79221272469,32.820049286,0.92325937748,-51.219924927,0.23759283125,-79.999992371,2.1993627548,0.0,0.0,0.0014708098024,21.7,0.8,0,0.95,0.0
60.0335652200141,-0.21390347183,-0.90676242113,32.84803009,0.99165129662,-51.219924927,0.23513400555,-79.999992371,2.1783165932,0.0,0.0,-0.00060696183937,21.7,0.8,0,0.95,0.0
